dataset,label_type,model,cv_mode,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
AMRB2,species,drcaps,k-fold,0,36,0.097902171,0.245446452,0.815820475,0.546755666,0.965746173,0.813770325,0.996107826,0.958441119
AMRB2,species,drcaps,k-fold,0,48,0.09467591,0.241852513,0.822164988,0.544730845,0.967574841,0.809651392,0.996161723,0.958464215
AMRB2,species,drcaps,k-fold,0,87,0.085402053,0.256897918,0.841764452,0.538325326,0.974360159,0.818120227,0.9972262,0.960365854
AMRB2,species,drcaps,k-fold,0,97,0.085680822,0.25615326,0.841679756,0.537948078,0.974069497,0.821985095,0.997285873,0.961559189
AMRB2,species,drcaps,k-fold,0,100,0.085035468,0.255942801,0.842755782,0.540250062,0.974238889,0.818343496,0.997262774,0.963168268
AMRB2,species,drcaps,k-fold,1,15,0.107405401,0.200522686,0.79391304,0.622420855,0.957780883,0.867963168,0.994550571,0.981576435
AMRB2,species,drcaps,k-fold,1,16,0.107079667,0.201396966,0.794892821,0.623868256,0.958061921,0.868971729,0.99458137,0.982207748
AMRB2,species,drcaps,k-fold,1,21,0.100985917,0.201316065,0.806781083,0.626801552,0.962131187,0.871650961,0.995064523,0.981229983
AMRB2,species,drcaps,k-fold,1,83,0.084835626,0.225495285,0.840667252,0.598538741,0.973657566,0.84782274,0.997054883,0.972545578
AMRB2,species,drcaps,k-fold,1,86,0.084346254,0.22585003,0.841801026,0.595405272,0.973927053,0.845505358,0.996993286,0.97369272
AMRB2,species,drcaps,k-fold,2,20,0.103558688,0.189694569,0.798650251,0.625716001,0.964094598,0.895148128,0.996577505,0.974778271
AMRB2,species,drcaps,k-fold,2,23,0.100335023,0.19113521,0.805510641,0.630189086,0.966552712,0.890890613,0.996833518,0.973931387
AMRB2,species,drcaps,k-fold,2,89,0.085001696,0.201344561,0.84014945,0.620557711,0.976167652,0.909552846,0.998026964,0.981599532
AMRB2,species,drcaps,k-fold,2,91,0.084762859,0.207209152,0.840646078,0.609709904,0.976439065,0.908444198,0.998084712,0.980929724
AMRB2,species,drcaps,k-fold,2,93,0.084807195,0.204686774,0.840973313,0.614475548,0.976414041,0.909822308,0.998061613,0.980775745
AMRB2,species,drcaps,k-fold,2,95,0.084543326,0.209913781,0.841163879,0.605429293,0.97655841,0.909460458,0.998021189,0.981006713
AMRB2,species,drcaps,k-fold,3,1,0.156165261,0.235149033,0.699147649,0.53713969,0.914121932,0.763126694,0.988820105,0.94047949
AMRB2,species,drcaps,k-fold,3,14,0.10747025,0.225483196,0.796779236,0.592471976,0.957832856,0.796771064,0.995453356,0.930062823
AMRB2,species,drcaps,k-fold,3,39,0.091746898,0.218541588,0.828112969,0.604874969,0.968591195,0.796355322,0.997033709,0.903170424
AMRB2,species,drcaps,k-fold,3,83,0.087984877,0.232159728,0.837375651,0.597907428,0.971257199,0.78611573,0.99746489,0.883053092
AMRB2,species,drcaps,k-fold,3,85,0.087719971,0.228087253,0.838218763,0.598176891,0.971507438,0.784106307,0.997412917,0.90297795
AMRB2,species,drcaps,k-fold,4,18,0.123309941,0.178257063,0.767537882,0.667652131,0.942019696,0.88212152,0.992787351,0.969858647
AMRB2,species,drcaps,k-fold,4,62,0.097913388,0.187517594,0.819907065,0.67194814,0.961422819,0.86424458,0.995522652,0.950988544
AMRB2,species,drcaps,k-fold,4,82,0.09444362,0.189677415,0.827577843,0.668437423,0.964213943,0.864891291,0.996077027,0.951080931
AMRB2,species,drcaps,k-fold,4,83,0.094171184,0.190379918,0.827856956,0.670292868,0.964391035,0.86431387,0.996067403,0.947716494
AMRB2,species,drcaps,k-fold,5,9,0.134802285,0.138549604,0.737653608,0.725501971,0.928726247,0.953975733,0.991064554,0.998922148
AMRB2,species,drcaps,k-fold,5,38,0.108268573,0.12902739,0.795543441,0.755574033,0.950583634,0.953444506,0.993938449,0.995511518
AMRB2,species,drcaps,k-fold,5,48,0.104795432,0.130124643,0.803512581,0.756852057,0.95343443,0.95116562,0.99458522,0.995311345
AMRB2,species,drcaps,k-fold,5,81,0.097527753,0.131620392,0.819421987,0.754511579,0.9596211,0.952127987,0.995786365,0.994726226
AMRB2,species,drcaps,k-fold,6,3,0.147575064,0.207058871,0.706464243,0.596244457,0.917097847,0.841709781,0.989233962,0.986927199
AMRB2,species,drcaps,k-fold,6,5,0.142328527,0.220944972,0.71770381,0.594573787,0.922256614,0.809143262,0.99037736,0.990499507
AMRB2,species,drcaps,k-fold,6,81,0.098814453,0.235627196,0.814505759,0.597006652,0.959811667,0.797048226,0.996171348,0.956816642
AMRB2,species,drcaps,k-fold,6,82,0.098543034,0.23170678,0.814965814,0.599023774,0.959932936,0.802137226,0.996036604,0.961089554
AMRB2,species,drcaps,k-fold,6,83,0.098941926,0.226801141,0.814474961,0.604428431,0.959827066,0.808465755,0.996119375,0.967548965
AMRB2,species,drcaps,k-fold,7,3,0.151839014,0.185281155,0.699395962,0.631259239,0.914805276,0.855144432,0.988929825,0.989306171
AMRB2,species,drcaps,k-fold,7,33,0.107077789,0.189132665,0.794729203,0.654587029,0.95454318,0.86860218,0.995143445,0.994441365
AMRB2,species,drcaps,k-fold,7,60,0.099939542,0.187575981,0.809774323,0.664965201,0.960670178,0.874461074,0.996188672,0.990946046
AMRB2,species,drcaps,k-fold,7,76,0.097464826,0.190892819,0.815202578,0.666481892,0.962423773,0.864814302,0.996619853,0.989090601
AMRB2,species,drcaps,k-fold,7,80,0.096876384,0.193631642,0.81670401,0.665126879,0.963112892,0.860325819,0.9966853,0.985810852
AMRB2,species,drcaps,k-fold,8,4,0.140202253,0.256397754,0.723867381,0.520533075,0.929925467,0.758807588,0.991838369,0.968673011
AMRB2,species,drcaps,k-fold,8,70,0.093607067,0.26141481,0.82412455,0.572015891,0.967980997,0.792667529,0.99724545,0.935090232
AMRB2,species,drcaps,k-fold,8,76,0.09275404,0.267856417,0.82599364,0.566295578,0.968677816,0.786723947,0.997262774,0.936830192
AMRB2,species,drcaps,k-fold,8,80,0.092598479,0.267222734,0.826266978,0.565587275,0.968596969,0.795377556,0.997307047,0.937184343
AMRB2,species,drcaps,k-fold,9,7,0.129229306,0.230636498,0.745938434,0.543144863,0.940354646,0.800197093,0.993104962,0.978566149
