model,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
drcaps,0,86,0.2689,0.3322,0.5089,0.3986,0.7057,0.6156,0.8105,0.7409
drcaps,1,68,0.2700,0.3346,0.5061,0.3964,0.7052,0.6125,0.8106,0.7363
drcaps,2,75,0.2673,0.3281,0.5124,0.4075,0.7093,0.6254,0.8137,0.7496
drcaps,3,93,0.2627,0.3264,0.5238,0.4078,0.7195,0.6220,0.8210,0.7447
drcaps,4,93,0.2615,0.3402,0.5302,0.3889,0.7243,0.6027,0.8237,0.7274
drcaps,5,80,0.2687,0.3316,0.5094,0.3984,0.7067,0.6103,0.8109,0.7351
drcaps,6,94,0.2684,0.3249,0.5109,0.4107,0.7067,0.6264,0.8106,0.7511
drcaps,7,91,0.2682,0.3280,0.5101,0.4038,0.7066,0.6220,0.8109,0.7481
drcaps,8,91,0.2637,0.3450,0.5223,0.3863,0.7165,0.6085,0.8179,0.7385
drcaps,9,76,0.2670,0.3351,0.5140,0.3922,0.7100,0.6085,0.8136,0.7383
resnet,0,30,1.2682,1.5533,0.5660,0.4381,0.7623,0.6591,0.8592,0.7826
resnet,1,62,1.2322,1.5457,0.5877,0.4541,0.7802,0.6706,0.8729,0.7877
resnet,2,78,1.2296,1.5662,0.5898,0.4544,0.7811,0.6737,0.8728,0.7901
resnet,3,99,1.2176,1.5533,0.5976,0.4520,0.7862,0.6694,0.8760,0.7868
resnet,4,68,1.2262,1.5993,0.5926,0.4359,0.7837,0.6576,0.8739,0.7787
resnet,5,56,1.2328,1.5546,0.5892,0.4469,0.7806,0.6679,0.8720,0.7877
resnet,6,50,1.2423,1.5442,0.5832,0.4514,0.7744,0.6742,0.8669,0.7937
resnet,7,62,1.2367,1.5524,0.5868,0.4486,0.7773,0.6704,0.8690,0.7910
resnet,8,62,1.2322,1.5669,0.5894,0.4440,0.7788,0.6669,0.8706,0.7883
resnet,9,48,1.2449,1.5858,0.5808,0.4351,0.7733,0.6605,0.8669,0.7853
