dataset_name,model_name,ood,id
"CIFAR10","resnet_ce_mse","","ks6467y3"
"CIFAR10","resnet_ce_mse","5:6:7:8:9","xfy981ny"
"CIFAR10","resnet_ce_mse","0:1:2:3:4","5izbkda2"
"CIFAR10","resnet_edl_mse","","4bdq8c2h"
"CIFAR10","resnet_edl_mse","5:6:7:8:9","ptf5v8v8"
"CIFAR10","resnet_edl_mse","0:1:2:3:4","pnigdeyr"
"CIFAR10","resnet50_vicreg_ce","","z89ot7fb"
"CIFAR10","resnet50_vicreg_ce","5:6:7:8:9","blu3najq"
"CIFAR10","resnet50_vicreg_ce","0:1:2:3:4","457i8xve"
"CIFAR10","flow_ss_vcr_mse","","yk4jbpb0"
"CIFAR10","flow_ss_vcr_mse","5:6:7:8:9","za51lfb3"
"CIFAR10","flow_ss_vcr_mse","0:1:2:3:4","hzmh6lr2"
"MNIST","resnet_ce_mse","","56bs93uv"
"MNIST","resnet_ce_mse","5:6:7:8:9","kba5ntt5"
"MNIST","resnet_ce_mse","0:1:2:3:4","84spf8e2"
"MNIST","resnet_edl_mse","","kh2l9qec"
"MNIST","resnet_edl_mse","5:6:7:8:9","7lnc1fg2"
"MNIST","resnet_edl_mse","0:1:2:3:4","ikrfkgxr"
"MNIST","resnet50_vicreg_ce","","74x07uh4"
"MNIST","resnet50_vicreg_ce","5:6:7:8:9","ho6dji6w"
"MNIST","resnet50_vicreg_ce","0:1:2:3:4","s6mgguuk"
"MNIST","flow_ss_vcr_mse","","dqkmlnla"
"MNIST","flow_ss_vcr_mse","5:6:7:8:9","umry49p9"
"MNIST","flow_ss_vcr_mse","0:1:2:3:4","mf83m6il"
"QPM_species","resnet_ce_mse","","9iotn5sk"
"QPM_species","resnet_ce_mse","1:4","77xb9byl"
"QPM_species","resnet_ce_mse","0:2:3","1y6ktp79"
"QPM_species","resnet_edl_mse","","udcaof5y"
"QPM_species","resnet_edl_mse","1:4","zrgay7lq"
"QPM_species","resnet_edl_mse","0:2:3","of58uq12"
"QPM_species","resnet50_vicreg_ce","","o7ee3ga8"
"QPM_species","resnet50_vicreg_ce","1:4","drehrsxe"
"QPM_species","resnet50_vicreg_ce","0:2:3","0qzdskm4"
"QPM_species","flow_ss_vcr_mse","","hu88k90i"
"QPM_species","flow_ss_vcr_mse","1:4","etvcjp2m"
"QPM_species","flow_ss_vcr_mse","0:2:3","csroh3h4"
"rbc_phase","resnet_ce_mse","","bxn223a9"
"rbc_phase","resnet_edl_mse","","crx4x4ee"
"rbc_phase","resnet50_vicreg_ce","","027g01du"
"rbc_phase","flow_ss_vcr_mse","","yokmihpd"
"rbc_phase","flow_ss_vcr_mse","0","sqy0ovuk"
"rbc_phase","flow_ss_vcr_mse","1","duvrach6"
