model,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
drcaps,0,78,0.2592,0.7236,0.5262,0.0069,0.7254,0.0283,0.8280,0.0575
drcaps,1,20,0.2781,0.6240,0.4807,0.0909,0.6850,0.3118,0.7967,0.4548
drcaps,2,83,0.2527,0.7126,0.5414,0.0092,0.7431,0.0455,0.8419,0.0698
drcaps,3,76,0.2695,0.6217,0.5051,0.0931,0.7023,0.3295,0.8091,0.6218
drcaps,4,2,0.3362,0.5680,0.3631,0.0126,0.5529,0.0595,0.6794,0.1587
drcaps,5,10,0.2945,0.6086,0.4456,0.0895,0.6501,0.1224,0.7693,0.1454
drcaps,6,34,0.2705,0.6140,0.4982,0.0019,0.6976,0.0121,0.8081,0.0433
drcaps,7,71,0.2648,0.5795,0.5146,0.0685,0.7141,0.2175,0.8188,0.3373
drcaps,8,85,0.2531,0.6724,0.5402,0.0001,0.7414,0.0007,0.8399,0.0011
drcaps,9,70,0.2646,0.6241,0.5153,0.0724,0.7151,0.3215,0.8217,0.4908
drcaps,10,81,0.2673,0.6097,0.5078,0.0000,0.7108,0.0002,0.8161,0.0005
drcaps,11,11,0.2897,0.6643,0.4573,0.0048,0.6629,0.0353,0.7784,0.0959
drcaps,12,83,0.2632,0.6682,0.5203,0.0061,0.7183,0.0378,0.8222,0.0926
drcaps,13,45,0.2675,0.5886,0.5081,0.4292,0.7046,0.6389,0.8112,0.7447
drcaps,14,58,0.2670,0.5999,0.5101,0.3684,0.7067,0.5577,0.8126,0.7134
drcaps,15,15,0.2912,0.5943,0.4533,0.0061,0.6583,0.0147,0.7768,0.0299
drcaps,16,49,0.2654,0.6093,0.5097,0.5499,0.7123,0.6262,0.8187,0.6822
drcaps,17,41,0.2881,0.0025,0.4671,0.9981,0.6632,0.9991,0.7803,0.9995
drcaps,18,58,0.2704,0.2298,0.5035,0.6488,0.6943,0.6783,0.8046,0.7001
resnet,0,4,1.3400,3.7695,0.5167,0.0096,0.7208,0.0433,0.8287,0.0782
resnet,1,2,1.3737,3.0919,0.4982,0.1367,0.7031,0.4014,0.8137,0.5418
resnet,2,99,1.1586,4.1468,0.6230,0.0049,0.8150,0.0279,0.8971,0.0442
resnet,3,100,1.1770,3.4985,0.6132,0.1037,0.7989,0.3753,0.8854,0.6526
resnet,4,12,1.2606,3.1618,0.5614,0.0145,0.7590,0.0559,0.8577,0.1245
resnet,5,100,1.1808,3.5494,0.6079,0.0665,0.7983,0.1137,0.8864,0.1546
resnet,6,98,1.1741,3.4090,0.6146,0.0036,0.7999,0.0231,0.8869,0.0596
resnet,7,6,1.3323,3.0683,0.5214,0.1075,0.7246,0.3562,0.8315,0.4638
resnet,8,92,1.1645,3.8461,0.6206,0.0004,0.8121,0.0009,0.8945,0.0019
resnet,9,99,1.1906,3.6875,0.6037,0.0935,0.7946,0.3161,0.8842,0.4891
resnet,10,71,1.2253,3.2859,0.5844,0.0001,0.7811,0.0008,0.8733,0.0016
resnet,11,100,1.1740,3.8236,0.6148,0.0046,0.8065,0.0348,0.8899,0.0930
resnet,12,66,1.2070,3.4289,0.5931,0.0079,0.7857,0.0565,0.8774,0.1533
resnet,13,81,1.1863,3.1712,0.6098,0.4200,0.7944,0.6073,0.8810,0.7185
resnet,14,66,1.2058,3.2511,0.5984,0.4626,0.7858,0.6618,0.8754,0.7958
resnet,15,100,1.1648,3.5405,0.6189,0.0021,0.8067,0.0079,0.8923,0.0159
resnet,16,16,1.2479,3.2681,0.5673,0.4951,0.7659,0.6095,0.8632,0.6901
resnet,17,35,1.2654,0.4862,0.5647,0.9967,0.7570,0.9983,0.8574,0.9989
resnet,18,98,1.1989,1.9719,0.6018,0.4980,0.7860,0.5348,0.8780,0.5586
