id,name,batch_size,cat_k,ckpt_metric,ckpt_mode,classifier_loss,dataset_name,decoder_loss,emb_dims,emb_name,emb_targets,encoder_loss,expand_3ch,grouping,hidden_dims,image_size,in_dims,input_shape,model_name,ood,optim_lr,optim_m,rand_perms,rgb_contrast,rgb_contrast_p,rgb_gaussian_blur_p,rgb_grid_distort_p,rgb_grid_shuffle_p,rgb_jitter_d,rgb_jitter_p,scale,temperature,train_epochs,train_supervised,with_classifier,with_decoder,with_encoder,_runtime,_step,_timestamp,_wandb,epoch,train_accuracy,train_accuracy_top2,train_decoder_mse,train_loss,train_loss_simclr,train_loss_u,train_loss_v,train_loss_vicreg,train_loss_x,train_loss_y,train_loss_y_rand,train_loss_z,trainer/global_step,val_accuracy,val_accuracy_top2,val_decoder_mse,val_loss,val_loss_simclr,val_loss_u,val_loss_v,val_loss_vicreg,val_loss_x,val_loss_y,val_loss_y_rand,val_loss_z
p965yk91,QPM_species_flow_spherical_mse,128,3,val_loss,min,N/A,QPM_species,mse,128,,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",,,,"[1, 64, 64]",flow_spherical_mse,1:4,0.001,0.8,,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,9733.179849624634,2103,1695910304.1313157,{'runtime': 9732},89,,,0.00015991937834769487,0.0001827085216064006,,4.080053770394443e-07,4.783480108017102e-05,,0.0001338798028882593,,,5.859041039002477e-07,78119,,,0.0001395941071677953,0.0002269222168251872,,2.9923116926511284e-06,8.516223169863224e-05,,0.00013861697516404092,,,1.5068552272623492e-07
1uwiwhk8,QPM_species_ht_linear_enc_ce,128,3,val_accuracy,max,crossent,QPM_species,,128,,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",,,,"[3, 64, 64]",ht_linear_enc_ce,1:4,0.001,0.8,500,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,True,1831.7931060791016,1264,1695891193.260163,{'runtime': 1831},34,0.9403445720672609,0.9937642216682434,,0.558354377746582,,,,,,0.1577487736940384,0.4006055891513825,,45569,0.7649474143981934,0.9443575143814088,,2.663191080093384,,,,,,1.7770954370498655,0.8860961198806763,
xzm8db7w,QPM_species_ht_linear_enc_ce,128,3,val_accuracy,max,crossent,QPM_species,,128,,,,,"[0, 3, 4, 2, 4, 4, 4, 1, 2, 4, 4, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0]",,,,"[3, 64, 64]",ht_linear_enc_ce,1:2,0.001,0.8,500,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,True,1978.587644815445,1439,1695888416.675325,{'runtime': 1978},46,0.9303094744682312,0.9947298169136048,,0.5718923807144165,,,,,,0.17004942893981934,0.4018429815769195,,48315,0.8661141395568848,0.9883483648300172,,1.1911108493804932,,,,,,0.5068817734718323,0.6842291355133057,
blju8f45,QPM_species_ht_linear_enc_ce,128,5,val_accuracy,max,crossent,QPM_species,,128,,,,,"[0, 1, 2, 4, 2, 2, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 0, 0, 0, 0, 0]",,,,"[3, 64, 64]",ht_linear_enc_ce,,0.001,0.8,500,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,True,2955.011683702469,2009,1695886355.9178698,{'runtime': 2954},50,0.915562391281128,0.9798102974891664,,0.6862596273422241,,,,,,0.16542115807533264,0.5208384990692139,,74816,0.7231854200363159,0.883119523525238,,1.781143069267273,,,,,,0.8590865731239319,0.922057330608368,
9lhxtfgt,QPM_species_resnet50_simclr_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_simclr_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,500,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,637.4161911010742,946,1695314301.3564382,{'runtime': 637},40,0.5027793049812317,0.832996129989624,,1.8825739622116089,,,,,,0.8866445422172546,0.9959294199943542,,26690,0.4904453456401825,0.8219680786132812,,2.010162353515625,,,,,,0.9917408227920532,1.0184214115142822,
ktr0swo1,QPM_species_resnet50_simclr_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_simclr_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,250,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,351.61016726493835,555,1695313618.3302913,{'runtime': 349},23,0.5007158517837524,0.8313101530075073,,2.0154972076416016,,,,,,0.991566836833954,1.023930311203003,,15623,0.48813384771347046,0.8216533660888672,,2.0103132724761963,,,,,,0.991338312625885,1.0189749002456665,
qvjdj1q4,QPM_species_resnet50_simclr_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_simclr_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,100,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,490.0915324687958,946,1695313220.2971344,{'runtime': 489},40,0.5033940076828003,0.8334561586380005,,1.8958253860473633,,,,,,0.9027439951896667,0.9930814504623412,,26690,0.4900262653827667,0.8238115906715393,,2.0090596675872803,,,,,,0.991120994091034,1.0179386138916016,
ak3twfa3,QPM_species_resnet50_vicreg_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_vicreg_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,500,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,673.1193730831146,992,1695312683.4961162,{'runtime': 672},42,0.5049545764923096,0.8354636430740356,,2.089406967163086,,,,,,1.042116641998291,1.047290325164795,,27992,0.4914649724960327,0.8287909626960754,,2.003689765930176,,,,,,0.9864478707313538,1.017241358757019,
fsdmz522,QPM_species_resnet50_vicreg_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_vicreg_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,250,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,563.9858021736145,969,1695311964.22026,{'runtime': 563},41,0.5045250654220581,0.8357836008071899,,1.9286880493164065,,,,,,0.9465594291687012,0.98212867975235,,27341,0.4928628504276275,0.8294638991355896,,2.001142978668213,,,,,,0.9850754141807556,1.0160672664642334,
rmk46fkc,QPM_species_resnet50_vicreg_M128_ht_mlp_ce,128,3,val_accuracy,max,crossent,,,1024,QPM_species_resnet50_vicreg_M128,,,,"[0, 3, 1, 4, 1, 1, 1, 2, 4, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]",32,,1024,[1024],ht_mlp_ce,1:4,0.001,0.8,100,0.2,,,,,1,0.8,"[0.2, 1]",0.5,200,,,,,527.5122001171112,1038,1695311351.3952062,{'runtime': 526},44,0.5050041675567627,0.8359650373458862,,1.9315301179885864,,,,,,0.9373725652694702,0.9941575527191162,,29294,0.4935038089752197,0.829002857208252,,2.003105401992798,,,,,,0.9873220920562744,1.0157835483551023,
